id,name,lat,lng,yelpstars,lastrating,rats,roaches,slime,fail,cuisine,weight
913400,"WHATABURGER #270",29.7071,-95.5212,5,1,1,1,1,1,"BURGERS, ETC.",999
913404,"POLLO RIKO",29.7015,-95.5191,5,1,1,1,1,1,"MEXICAN / HISPANIC",999
913423,"GOLDBERG BNAI BRITH TOWERS",29.6626,-95.5084,5,1,1,1,1,1,,999
913453,"FOERSTER ELEMENTARY SCHOOL",29.6386,-95.4985,5,1,1,1,1,1,,999
913454,"BRISCOE ELEMENTARY SCHOOL",29.7312,-95.2984,5,1,1,1,1,1,,999
913462,"RON'S  PUB",29.7488,-95.4861,5,1,1,1,1,1,,999
913463,"FOUNTAINVIEW CAFE",29.7486,-95.4861,5,1,1,1,1,1,DELI,999
913471,"FOUNTAINVIEW FISH",29.7351,-95.4844,5,1,1,1,1,1,CHINESE,999
913475,"TEXAS TAMALE CO.",29.7298,-95.4843,5,1,1,1,1,1,,999
913504,"EL MERCADO RODRIGUEZ RECEPTION HALL",29.7871,-95.3604,5,1,1,1,1,1,,999
913529,"ROOSEVELT ELEMENTARY SCHOOL",29.8187,-95.3732,5,1,1,1,1,1,,999
913533,"ICE CREAM CASTLES",29.8277,-95.3763,5,1,1,1,1,1,,999
